geometry,NAME,NO2 (mol/m^2),Elevation,Rainfall,Population,VIIRS,LandUse_0,LandUse_3,LandUse_13,LandUse_14,LandUse_15,LandUse_24,Temperature,WindSpeed,Monthly_avg_ground_data (micro g/m^3),Month
POINT (781598 1428998),BTM Layout,0.000125301,918,0.065942064,311.08472,69.915,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,283,160,23.51483871,Jan
POINT (781598 1428998),BTM Layout,0.000123209,918,0.016081817,311.08472,65.33312,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,322,150,22.77071429,Feb
POINT (781598 1428998),BTM Layout,0.00013964,918,0.005576949,311.08472,65.73,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,356,170,24.809,March
POINT (781598 1428998),BTM Layout,0.000127107,918,0.07644539,311.08472,63.555,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,357,210,23.09933333,April
POINT (781598 1428998),BTM Layout,0.000120349,918,0.4000671,311.08472,50.636875,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,347,190,29.04483871,May
POINT (781598 1428998),BTM Layout,7.76E-05,918,0.17837358,311.08472,47.194374,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,314,180,18.09533333,June
POINT (781598 1428998),BTM Layout,6.63E-05,918,0.045122687,311.08472,50.0275,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,295,290,15.05709677,July
POINT (781598 1428998),BTM Layout,5.63E-05,918,0.1509195,311.08472,58.453125,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,289,320,14.13290323,Aug
POINT (781598 1428998),BTM Layout,6.37E-05,918,0.15023597,311.08472,51.7325,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,297,200,13.68033333,Sept
POINT (781598 1428998),BTM Layout,6.96E-05,918,0.15326199,311.08472,45.6025,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,293,130,15.72052632,Oct
POINT (781598 1428998),BTM Layout,8.12E-05,918,0.012589205,311.08472,53.19,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,292,150,15.66666667,Nov
POINT (781598 1428998),BTM Layout,8.10E-05,918,0.004916208,311.08472,52.895,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,279,170,8.461612903,Dec
POINT (780485 1429813),Jayanagar 5th Block,0.000125301,918,0.065942064,311.08472,69.915,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,283,160,45.30666667,Jan
POINT (780485 1429813),Jayanagar 5th Block,0.000123209,918,0.016081817,311.08472,65.33312,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,322,150,40.28296296,Feb
POINT (780485 1429813),Jayanagar 5th Block,0.00013964,918,0.005576949,311.08472,65.73,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,356,170,34.30322581,March
POINT (780485 1429813),Jayanagar 5th Block,0.000127107,918,0.07644539,311.08472,63.555,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,357,210,31.12652174,April
POINT (780485 1429813),Jayanagar 5th Block,0.000120349,918,0.4000671,311.08472,50.636875,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,347,190,21.76842105,May
POINT (780485 1429813),Jayanagar 5th Block,7.76E-05,918,0.17837358,311.08472,47.194374,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,314,180,17.86066667,June
POINT (780485 1429813),Jayanagar 5th Block,6.63E-05,918,0.045122687,311.08472,50.0275,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,295,290,22.88483871,July
POINT (780485 1429813),Jayanagar 5th Block,5.63E-05,918,0.1509195,311.08472,58.453125,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,289,320,24.847,Aug
POINT (780485 1429813),Jayanagar 5th Block,6.37E-05,918,0.15023597,311.08472,51.7325,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,297,200,21.38033333,Sept
POINT (780485 1429813),Jayanagar 5th Block,6.96E-05,918,0.15326199,311.08472,45.6025,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,293,130,36.20354839,Oct
POINT (780485 1429813),Jayanagar 5th Block,8.12E-05,918,0.012589205,311.08472,53.19,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,292,150,46.29310345,Nov
POINT (780485 1429813),Jayanagar 5th Block,8.10E-05,918,0.004916208,311.08472,52.895,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,279,170,44.72677419,Dec
POINT (781029 1431762),Hombegowda Nagar,0.000133625,911,0.065942064,4442.8613,54.996876,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,283,160,26.6173913,Jan
POINT (781029 1431762),Hombegowda Nagar,0.000132835,911,0.016081817,4442.8613,51.05,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,322,150,27.19321429,Feb
POINT (781029 1431762),Hombegowda Nagar,0.000149872,911,0.005576949,4442.8613,52.6725,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,356,170,23.89483871,March
POINT (781029 1431762),Hombegowda Nagar,0.000135845,911,0.07644539,4442.8613,48.79625,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,357,210,21.05166667,April
POINT (781029 1431762),Hombegowda Nagar,0.000132906,911,0.4000671,4442.8613,42.769375,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,347,190,20.03032258,May
POINT (781029 1431762),Hombegowda Nagar,8.17E-05,911,0.17837358,4442.8613,40.9725,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,314,180,10.08966667,June
POINT (781029 1431762),Hombegowda Nagar,6.67E-05,911,0.045122687,4442.8613,37.629375,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,295,290,8.249354839,July
POINT (781029 1431762),Hombegowda Nagar,5.78E-05,911,0.1509195,4442.8613,41.266876,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,289,320,8.648823529,Aug
POINT (781029 1431762),Hombegowda Nagar,6.87E-05,911,0.15023597,4442.8613,37.986877,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,297,200,9.803333333,Sept
POINT (781029 1431762),Hombegowda Nagar,7.60E-05,911,0.15326199,4442.8613,34.958126,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,293,130,14.90210526,Oct
POINT (781029 1431762),Hombegowda Nagar,8.11E-05,911,0.012589205,4442.8613,40.0875,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,292,150,18.85266667,Nov
POINT (781029 1431762),Hombegowda Nagar,8.14E-05,911,0.004916208,4442.8613,41.155,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,279,170,17.14258065,Dec
POINT (771534 1429772),RVCE-Mailasandra,0.00013278,813,0.065942064,311.0847,56.646248,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,289,150,NA,Jan
POINT (771534 1429772),RVCE-Mailasandra,0.000111091,813,0.016081817,311.0847,50.094376,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,327,150,NA,Feb
POINT (771534 1429772),RVCE-Mailasandra,0.000132586,813,0.005576949,311.0847,53.823753,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,359,170,NA,March
POINT (771534 1429772),RVCE-Mailasandra,0.000122968,813,0.07644539,311.0847,49.0825,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,361,200,NA,April
POINT (771534 1429772),RVCE-Mailasandra,9.78E-05,813,0.4000671,311.0847,42.50375,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,351,210,NA,May
POINT (771534 1429772),RVCE-Mailasandra,6.73E-05,813,0.17837358,311.0847,32.158127,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,317,180,NA,June
POINT (771534 1429772),RVCE-Mailasandra,5.93E-05,813,0.045122687,311.0847,41.88375,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,297,280,NA,July
POINT (771534 1429772),RVCE-Mailasandra,5.12E-05,813,0.1509195,311.0847,43.721878,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,292,320,NA,Aug
POINT (771534 1429772),RVCE-Mailasandra,5.74E-05,813,0.15023597,311.0847,39.174374,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,300,200,NA,Sept
POINT (771534 1429772),RVCE-Mailasandra,6.59E-05,813,0.15326199,311.0847,35.529373,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,296,130,NA,Oct
POINT (771534 1429772),RVCE-Mailasandra,7.84E-05,813,0.012589205,311.0847,42.93625,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,296,140,NA,Nov
POINT (771534 1429772),RVCE-Mailasandra,8.31E-05,813,0.004916208,311.0847,43.658127,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,283,160,NA,Dec
POINT (775552 1433187),Bapuji Nagar,0.00014845,844,0.065942064,5448.823,72.664375,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,289,150,74.99307692,Jan
POINT (775552 1433187),Bapuji Nagar,0.000132352,844,0.016081817,5448.823,70.03375,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,327,150,70.3575,Feb
POINT (775552 1433187),Bapuji Nagar,0.000145735,844,0.005576949,5448.823,71.0475,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,359,170,68.40777778,March
POINT (775552 1433187),Bapuji Nagar,0.000138143,844,0.07644539,5448.823,66.52125,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,361,200,60.75827586,April
POINT (775552 1433187),Bapuji Nagar,0.000111197,844,0.4000671,5448.823,59.36875,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,351,210,45.6462069,May
POINT (775552 1433187),Bapuji Nagar,7.23E-05,844,0.17837358,5448.823,44.964375,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,317,180,24.34583333,June
POINT (775552 1433187),Bapuji Nagar,6.21E-05,844,0.045122687,5448.823,51.371876,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,297,280,20.88870968,July
POINT (775552 1433187),Bapuji Nagar,5.36E-05,844,0.1509195,5448.823,60.22,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,292,320,19.04774194,Aug
POINT (775552 1433187),Bapuji Nagar,6.22E-05,844,0.15023597,5448.823,52.099377,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,300,200,21.29166667,Sept
POINT (775552 1433187),Bapuji Nagar,7.47E-05,844,0.15326199,5448.823,45.555,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,296,130,32.38129032,Oct
POINT (775552 1433187),Bapuji Nagar,8.70E-05,844,0.012589205,5448.823,64.65375,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,296,140,36.93724138,Nov
POINT (775552 1433187),Bapuji Nagar,9.60E-05,844,0.004916208,5448.823,60.740623,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,283,160,46.21903226,Dec
POINT (778380 1435847),City Railway Station,0.000140844,889,0.065942064,9186.9,77.99687,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,286,150,46.46310345,Jan
POINT (778380 1435847),City Railway Station,0.000131741,889,0.016081817,9186.9,71.945,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,324,150,46.49,Feb
POINT (778380 1435847),City Railway Station,0.000153782,889,0.005576949,9186.9,70.82687,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,356,170,49.75291667,March
POINT (778380 1435847),City Railway Station,0.000140696,889,0.07644539,9186.9,69.14125,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,359,200,49.83206897,April
POINT (778380 1435847),City Railway Station,0.000127257,889,0.4000671,9186.9,61.905624,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,350,210,37.12517241,May
POINT (778380 1435847),City Railway Station,7.87E-05,889,0.17837358,9186.9,55.269375,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,316,210,36.98366667,June
POINT (778380 1435847),City Railway Station,6.54E-05,889,0.045122687,9186.9,55.146248,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,297,310,39.38153846,July
POINT (778380 1435847),City Railway Station,5.65E-05,889,0.1509195,9186.9,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,290,320,35.84333333,Aug
POINT (778380 1435847),City Railway Station,6.89E-05,889,0.15023597,9186.9,60.0075,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,299,220,46.10037037,Sept
POINT (778380 1435847),City Railway Station,7.83E-05,889,0.15326199,9186.9,57.32125,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,295,130,42.47117647,Oct
POINT (778380 1435847),City Railway Station,8.40E-05,889,0.012589205,9186.9,62.511875,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,294,150,65.69444444,Nov
POINT (778380 1435847),City Railway Station,8.72E-05,889,0.004916208,9186.9,69.28875,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,280,160,54.15740741,Dec
POINT (775874 1437443),Sanegurava Halli,0.000144682,897,0.065942064,9186.283,87.707504,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,288,150,37.18032258,Jan
POINT (775874 1437443),Sanegurava Halli,0.000134516,897,0.016081817,9186.283,82.593124,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,325,150,32.98142857,Feb
POINT (775874 1437443),Sanegurava Halli,0.000150176,897,0.005576949,9186.283,80.7625,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,356,170,12.25777778,March
POINT (775874 1437443),Sanegurava Halli,0.000142841,897,0.07644539,9186.283,82.99062,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,359,200,10.0315,April
POINT (775874 1437443),Sanegurava Halli,0.000112612,897,0.4000671,9186.283,68.6475,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,351,220,9.851935484,May
POINT (775874 1437443),Sanegurava Halli,7.28E-05,897,0.17837358,9186.283,60.248127,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,316,220,14.85814815,June
POINT (775874 1437443),Sanegurava Halli,6.66E-05,897,0.045122687,9186.283,65.44625,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,297,300,15.50064516,July
POINT (775874 1437443),Sanegurava Halli,5.49E-05,897,0.1509195,9186.283,2.328125,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,290,320,9.502333333,Aug
POINT (775874 1437443),Sanegurava Halli,6.27E-05,897,0.15023597,9186.283,60.993748,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,299,210,6.94,Sept
POINT (775874 1437443),Sanegurava Halli,7.47E-05,897,0.15326199,9186.283,57.107502,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,295,130,10.35482759,Oct
POINT (775874 1437443),Sanegurava Halli,8.14E-05,897,0.012589205,9186.283,65.133125,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,295,150,10.32214286,Nov
POINT (775874 1437443),Sanegurava Halli,9.02E-05,897,0.004916208,9186.283,64.38062,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,282,150,15.53940828,Dec
POINT (772024 1441202),Shivapura_Peenya,0.000126729,906,0.048945475,9185.049,46.1975,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,285,150,NA,Jan
POINT (772024 1441202),Shivapura_Peenya,0.000117455,906,0.022364235,9185.049,44.011875,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,323,150,NA,Feb
POINT (772024 1441202),Shivapura_Peenya,0.000133137,906,0.000937233,9185.049,47.475624,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,355,170,NA,March
POINT (772024 1441202),Shivapura_Peenya,0.000128785,906,0.07576132,9185.049,44.808125,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,358,200,NA,April
POINT (772024 1441202),Shivapura_Peenya,9.88E-05,906,0.37947038,9185.049,40.480625,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,348,220,NA,May
POINT (772024 1441202),Shivapura_Peenya,7.05E-05,906,0.16912249,9185.049,38.625,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,313,240,NA,June
POINT (772024 1441202),Shivapura_Peenya,6.31E-05,906,0.045913197,9185.049,38.868748,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,294,290,NA,July
POINT (772024 1441202),Shivapura_Peenya,5.38E-05,906,0.14537366,9185.049,42.261875,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,288,310,NA,Aug
POINT (772024 1441202),Shivapura_Peenya,5.99E-05,906,0.15564501,9185.049,33.541874,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,297,220,NA,Sept
POINT (772024 1441202),Shivapura_Peenya,7.07E-05,906,0.15314068,9185.049,30.960625,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,293,130,NA,Oct
POINT (772024 1441202),Shivapura_Peenya,7.22E-05,906,0.007374593,9185.049,40.389374,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,292,140,NA,Nov
POINT (772024 1441202),Shivapura_Peenya,7.80E-05,906,0.005416848,9185.049,43.810623,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,279,160,NA,Dec
POINT (770511 1441451),Peenya,0.000122757,876,0.05053459,9185.05,46.748123,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,286,150,44.77677419,Jan
POINT (770511 1441451),Peenya,0.000117235,876,0.017880347,9185.05,44.714375,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,324,150,21.77785714,Feb
POINT (770511 1441451),Peenya,0.000128502,876,0.001489888,9185.05,46.061874,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,356,170,22.87709677,March
POINT (770511 1441451),Peenya,0.000128746,876,0.07944944,9185.05,42.986248,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,359,200,19.66566667,April
POINT (770511 1441451),Peenya,9.40E-05,876,0.44418442,9185.05,36.454998,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,349,220,18.08333333,May
POINT (770511 1441451),Peenya,6.91E-05,876,0.17759995,9185.05,37.76625,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,314,210,27.01206897,June
POINT (770511 1441451),Peenya,6.11E-05,876,0.046264175,9185.05,40.063126,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,294,290,29.37689655,July
POINT (770511 1441451),Peenya,5.27E-05,876,0.13494371,9185.05,39.855625,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,289,300,30.68566667,Aug
POINT (770511 1441451),Peenya,5.73E-05,876,0.13566007,9185.05,32.104374,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,297,200,29.18541667,Sept
POINT (770511 1441451),Peenya,6.63E-05,876,0.17643641,9185.05,31.87625,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,293,130,29.83870968,Oct
POINT (770511 1441451),Peenya,6.99E-05,876,0.00694336,9185.05,44.839375,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,291,140,31.65133333,Nov
POINT (770511 1441451),Peenya,7.53E-05,876,0.00425314,9185.05,46.28,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,279,170,31.47354839,Dec
POINT (780472 1441787),Hebbal,0.00011677,922,0.048945475,9185.05,58.70375,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,283,150,49.63193548,Jan
POINT (780472 1441787),Hebbal,0.000116916,922,0.022364235,9185.05,58.268124,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,322,150,41.75444444,Feb
POINT (780472 1441787),Hebbal,0.000138123,922,0.000937233,9185.05,56.83625,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,356,170,40.32580645,March
POINT (780472 1441787),Hebbal,0.000129012,922,0.07576132,9185.05,55.18125,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,357,210,40.97233333,April
POINT (780472 1441787),Hebbal,0.000110793,922,0.37947038,9185.05,51.929375,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,348,200,17.23466667,May
POINT (780472 1441787),Hebbal,7.84E-05,922,0.16912249,9185.05,48.530624,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,313,190,4.647666667,June
POINT (780472 1441787),Hebbal,7.17E-05,922,0.045913197,9185.05,49.61125,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,295,300,8.439677419,July
POINT (780472 1441787),Hebbal,5.59E-05,922,0.14537366,9185.05,49.684376,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,288,310,11.39064516,Aug
POINT (780472 1441787),Hebbal,6.41E-05,922,0.15564501,9185.05,38.40625,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,297,220,13.09666667,Sept
POINT (780472 1441787),Hebbal,7.23E-05,922,0.15314068,9185.05,36.718124,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,292,130,29.3283871,Oct
POINT (780472 1441787),Hebbal,6.53E-05,922,0.007374593,9185.05,53.525623,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,291,150,25.16133333,Nov
POINT (780472 1441787),Hebbal,6.65E-05,922,0.005416848,9185.05,51.968124,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,277,160,27.95451613,Dec
POINT (789001 1439077),Kasturi Nagar,0.000101607,906,0.029406667,271.0959,94.417496,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,282,160,NA,Jan
POINT (789001 1439077),Kasturi Nagar,0.000112958,906,0.006970397,271.0959,82.64,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,322,160,NA,Feb
POINT (789001 1439077),Kasturi Nagar,0.000126237,906,0.002325645,271.0959,82.63062,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,357,180,NA,March
POINT (789001 1439077),Kasturi Nagar,0.000115257,906,0.06259275,271.0959,81.075,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,356,200,NA,April
POINT (789001 1439077),Kasturi Nagar,0.000123024,906,0.36050728,271.0959,68.19438,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,345,210,NA,May
POINT (789001 1439077),Kasturi Nagar,8.80E-05,906,0.18261471,271.0959,65.08187,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,312,180,NA,June
POINT (789001 1439077),Kasturi Nagar,7.23E-05,906,0.05052369,271.0959,65.936874,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,293,280,NA,July
POINT (789001 1439077),Kasturi Nagar,6.16E-05,906,0.14731617,271.0959,89.846245,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,288,310,NA,Aug
POINT (789001 1439077),Kasturi Nagar,7.03E-05,906,0.15662277,271.0959,78.405,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,295,200,NA,Sept
POINT (789001 1439077),Kasturi Nagar,7.12E-05,906,0.13979243,271.0959,62.621254,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,291,130,NA,Oct
POINT (789001 1439077),Kasturi Nagar,6.16E-05,906,0.009619605,271.0959,74.86562,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,289,160,NA,Nov
POINT (789001 1439077),Kasturi Nagar,6.22E-05,906,0.005738334,271.0959,78.27063,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,275,160,NA,Dec
POINT (790951 1431495),BWSSB Kadabesanahalli,0.000102044,884,0.029406667,199.99057,24.079376,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,281,160,26.53096774,Jan
POINT (790951 1431495),BWSSB Kadabesanahalli,0.000109838,884,0.006970397,199.99057,25.7375,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,322,160,18.554,Feb
POINT (790951 1431495),BWSSB Kadabesanahalli,0.000122948,884,0.002325645,199.99057,27.70375,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,358,180,23.54612903,March
POINT (790951 1431495),BWSSB Kadabesanahalli,0.000116404,884,0.06259275,199.99057,26.0625,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,355,210,14.16894737,April
POINT (790951 1431495),BWSSB Kadabesanahalli,0.000125348,884,0.36050728,199.99057,24.665627,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,344,200,7.734827586,May
POINT (790951 1431495),BWSSB Kadabesanahalli,8.79E-05,884,0.18261471,199.99057,26.718124,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,311,170,17.23925926,June
POINT (790951 1431495),BWSSB Kadabesanahalli,6.67E-05,884,0.05052369,199.99057,23.895,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,292,260,23.66451613,July
POINT (790951 1431495),BWSSB Kadabesanahalli,5.98E-05,884,0.14731617,199.99057,19.211876,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,287,290,24.8762963,Aug
POINT (790951 1431495),BWSSB Kadabesanahalli,6.91E-05,884,0.15662277,199.99057,20.636875,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,294,190,21.445,Sept
POINT (790951 1431495),BWSSB Kadabesanahalli,6.88E-05,884,0.13979243,199.99057,20.538124,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,290,130,37.46241379,Oct
POINT (790951 1431495),BWSSB Kadabesanahalli,6.30E-05,884,0.009619605,199.99057,23.463125,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,288,150,39.10733333,Nov
POINT (790951 1431495),BWSSB Kadabesanahalli,6.18E-05,884,0.005738334,199.99057,26.468124,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,274,160,32.7783871,Dec
