geometry,NAME,NO2,Elevation,Rainfall,Population,VIIRS,Temperature,WindSpeed,Monthly_avg_ground_data (micro g/m^3),Month
POINT (781029 1431762),Hombegowda Nagar,0.000114958,911,0,4442.8613,46.565002,341,190,23.19,March
POINT (781029 1431762),Hombegowda Nagar,0.000112342,911,29,4442.8613,43.079376,345,170,14.8,April
POINT (781029 1431762),Hombegowda Nagar,8.76E-05,911,79,4442.8613,44.38125,325,240,10.11,May
POINT (781029 1431762),Hombegowda Nagar,7.53E-05,911,94,4442.8613,37.130623,300,150,11.24,June
POINT (781029 1431762),Hombegowda Nagar,6.76E-05,911,96,4442.8613,0,281,260,12.73,July
POINT (781029 1431762),Hombegowda Nagar,6.94E-05,911,134,4442.8613,0,286,240,16.24,Aug
POINT (781029 1431762),Hombegowda Nagar,7.37E-05,911,191,4442.8613,44.436874,292,230,18.15,Sep
POINT (781029 1431762),Hombegowda Nagar,8.89E-05,911,248,4442.8613,42.420624,286,140,22.81,Oct
POINT (781029 1431762),Hombegowda Nagar,8.88E-05,911,36,4442.8613,37.574375,276,160,23.5,Nov
POINT (781029 1431762),Hombegowda Nagar,9.13E-05,911,18,4442.8613,43.1975,276,150,21.96,Dec
POINT (771534 1429772),RVCE-Mailasandra,8.44E-05,813,1,311.0847,42.393753,304,160,,Jan
POINT (771534 1429772),RVCE-Mailasandra,0.000113034,813,2,311.0847,49.42625,320,170,,Feb
POINT (771534 1429772),RVCE-Mailasandra,0.000107161,813,0,311.0847,44.886875,343,200,,March
POINT (771534 1429772),RVCE-Mailasandra,0.000108322,813,28,311.0847,41.822502,349,160,,April
POINT (771534 1429772),RVCE-Mailasandra,7.25E-05,813,82,311.0847,39.087498,328,260,,May
POINT (771534 1429772),RVCE-Mailasandra,6.30E-05,813,94,311.0847,37.485626,303,160,,June
POINT (771534 1429772),RVCE-Mailasandra,6.02E-05,813,100,311.0847,0,285,260,,July
POINT (771534 1429772),RVCE-Mailasandra,6.19E-05,813,141,311.0847,0,290,250,,Aug
POINT (771534 1429772),RVCE-Mailasandra,6.58E-05,813,187,311.0847,48.0725,295,230,,Sep
POINT (771534 1429772),RVCE-Mailasandra,8.50E-05,813,263,311.0847,44.683125,289,140,,Oct
POINT (771534 1429772),RVCE-Mailasandra,9.16E-05,813,34,311.0847,44.315624,280,150,,Nov
POINT (771534 1429772),RVCE-Mailasandra,9.47E-05,813,15,311.0847,44.660625,281,150,17.11,Dec
POINT (775552 1433187),Bapuji Nagar,9.39E-05,844,1,5448.823,57.221874,304,160,12.45,Jan
POINT (775552 1433187),Bapuji Nagar,0.0001272,844,2,5448.823,62.708122,320,170,17.15,Feb
POINT (775552 1433187),Bapuji Nagar,0.000124473,844,0,5448.823,58.105625,343,200,18.94,March
POINT (775552 1433187),Bapuji Nagar,0.000117544,844,28,5448.823,56.485626,349,160,16.07,April
POINT (775552 1433187),Bapuji Nagar,7.77E-05,844,82,5448.823,59.58875,328,260,17.54,May
POINT (775552 1433187),Bapuji Nagar,6.82E-05,844,94,5448.823,55.5175,303,160,12.28,June
POINT (775552 1433187),Bapuji Nagar,6.41E-05,844,100,5448.823,0,285,260,12.88,July
POINT (775552 1433187),Bapuji Nagar,6.66E-05,844,141,5448.823,0,290,250,11.27,Aug
POINT (775552 1433187),Bapuji Nagar,7.10E-05,844,187,5448.823,63.754375,295,230,11.95,Sep
POINT (775552 1433187),Bapuji Nagar,8.51E-05,844,263,5448.823,63.662502,289,140,17.7,Oct
POINT (775552 1433187),Bapuji Nagar,9.62E-05,844,34,5448.823,53.858124,280,150,13.54,Nov
POINT (775552 1433187),Bapuji Nagar,0.000101371,844,15,5448.823,58.003124,281,150,6.08,Dec
POINT (778380 1435847),City Railway Station,9.47E-05,889,1,9186.9,59.476875,302,160,24.01,Jan
POINT (778380 1435847),City Railway Station,0.000123723,889,2,9186.9,69.82625,317,170,24.41,Feb
POINT (778380 1435847),City Railway Station,0.000120935,889,0,9186.9,68.430626,341,190,22.11,March
POINT (778380 1435847),City Railway Station,0.000116274,889,27,9186.9,64.4775,347,180,16.55,April
POINT (778380 1435847),City Railway Station,8.55E-05,889,80,9186.9,72.57313,328,260,20.55,May
POINT (778380 1435847),City Railway Station,7.18E-05,889,99,9186.9,37.521248,302,180,18.68,June
POINT (778380 1435847),City Railway Station,6.68E-05,889,100,9186.9,0,285,290,24.75,July
POINT (778380 1435847),City Railway Station,6.60E-05,889,142,9186.9,0,288,250,25.28,Aug
POINT (778380 1435847),City Railway Station,7.16E-05,889,195,9186.9,60.208126,295,240,25.83,Sep
POINT (778380 1435847),City Railway Station,8.67E-05,889,254,9186.9,73.2125,288,140,22.54,Oct
POINT (778380 1435847),City Railway Station,8.97E-05,889,34,9186.9,57.176876,278,160,23.57,Nov
POINT (778380 1435847),City Railway Station,9.31E-05,889,17,9186.9,70.48062,278,150,27.34,Dec
POINT (775874 1437443),Sanegurava Halli,9.66E-05,897,1,9186.283,69.082504,304,160,17.02,Jan
POINT (775874 1437443),Sanegurava Halli,0.000122213,897,1,9186.283,74.98312,319,170,15.87,Feb
POINT (775874 1437443),Sanegurava Halli,0.000122652,897,0,9186.283,75.82687,342,200,12.73,March
POINT (775874 1437443),Sanegurava Halli,0.000114925,897,27,9186.283,65.52188,347,160,12.01,April
POINT (775874 1437443),Sanegurava Halli,7.80E-05,897,80,9186.283,74.22313,329,270,14.44,May
POINT (775874 1437443),Sanegurava Halli,6.72E-05,897,98,9186.283,56.96625,302,200,14.88,June
POINT (775874 1437443),Sanegurava Halli,6.54E-05,897,101,9186.283,0,285,280,28.1,July
POINT (775874 1437443),Sanegurava Halli,6.58E-05,897,145,9186.283,0,288,260,,Aug
POINT (775874 1437443),Sanegurava Halli,6.97E-05,897,193,9186.283,63.416252,295,240,20.1,Sep
POINT (775874 1437443),Sanegurava Halli,8.41E-05,897,262,9186.283,74.49875,288,140,20.81,Oct
POINT (775874 1437443),Sanegurava Halli,9.25E-05,897,33,9186.283,65.6,279,160,21.69,Nov
POINT (775874 1437443),Sanegurava Halli,9.53E-05,897,17,9186.283,67.85313,279,150,23.04,Dec
POINT (772024 1441202),Shivapura_Peenya,9.33E-05,906,1,9185.049,38.965626,301,160,,Jan
POINT (772024 1441202),Shivapura_Peenya,0.000108362,906,1,9185.049,40.183125,317,170,,Feb
POINT (772024 1441202),Shivapura_Peenya,0.000109984,906,0,9185.049,39.158127,341,190,,March
POINT (772024 1441202),Shivapura_Peenya,0.000108986,906,26,9185.049,38.86,346,170,,April
POINT (772024 1441202),Shivapura_Peenya,7.08E-05,906,78,9185.049,41.391876,326,270,,May
POINT (772024 1441202),Shivapura_Peenya,6.56E-05,906,102,9185.049,34.008125,300,210,,June
POINT (772024 1441202),Shivapura_Peenya,6.35E-05,906,103,9185.049,0,282,280,,July
POINT (772024 1441202),Shivapura_Peenya,6.35E-05,906,148,9185.049,0,287,250,,Aug
POINT (772024 1441202),Shivapura_Peenya,6.74E-05,906,194,9185.049,39.12125,293,240,,Sep
POINT (772024 1441202),Shivapura_Peenya,7.67E-05,906,264,9185.049,44.32375,286,140,,Oct
POINT (772024 1441202),Shivapura_Peenya,8.02E-05,906,32,9185.049,39.068123,276,160,,Nov
POINT (772024 1441202),Shivapura_Peenya,8.83E-05,906,18,9185.049,40.4975,276,160,,Dec
POINT (770511 1441451),Peenya,8.63E-05,876,1,9185.05,39.700626,302,160,20.73,Jan
POINT (770511 1441451),Peenya,0.000103758,876,1,9185.05,42.475,318,170,20.55,Feb
POINT (770511 1441451),Peenya,0.000108,876,0,9185.05,38.7025,342,200,19.12,March
POINT (770511 1441451),Peenya,0.000109798,876,26,9185.05,37.589375,347,170,15.66,April
POINT (770511 1441451),Peenya,6.96E-05,876,77,9185.05,38.58875,327,270,11.68,May
POINT (770511 1441451),Peenya,6.30E-05,876,100,9185.05,20.09,301,180,13.53,June
POINT (770511 1441451),Peenya,6.10E-05,876,104,9185.05,0,282,280,17.73,July
POINT (770511 1441451),Peenya,6.20E-05,876,150,9185.05,0,287,240,27.21,Aug
POINT (770511 1441451),Peenya,6.52E-05,876,190,9185.05,37.961876,293,230,23.93,Sep
POINT (770511 1441451),Peenya,7.63E-05,876,271,9185.05,43.940002,286,140,31.31,Oct
POINT (770511 1441451),Peenya,7.63E-05,876,31,9185.05,40.5375,276,150,36.02,Nov
POINT (770511 1441451),Peenya,8.99E-05,876,17,9185.05,40.3175,276,160,32.85,Dec
POINT (780472 1441787),Hebbal,9.29E-05,922,1,9185.05,38.241875,299,170,21.64,Jan
POINT (780472 1441787),Hebbal,0.000102382,922,2,9185.05,46.5975,315,170,11.02,Feb
POINT (780472 1441787),Hebbal,0.000106437,922,0,9185.05,47.046875,340,190,11.75,March
POINT (780472 1441787),Hebbal,9.59E-05,922,27,9185.05,43.77625,346,180,9.46,April
POINT (780472 1441787),Hebbal,7.91E-05,922,78,9185.05,47.183125,326,250,6.45,May
POINT (780472 1441787),Hebbal,7.16E-05,922,101,9185.05,44.635002,301,160,6.23,June
POINT (780472 1441787),Hebbal,6.74E-05,922,99,9185.05,0,283,280,12.48,July
POINT (780472 1441787),Hebbal,6.81E-05,922,137,9185.05,0,287,240,27,Aug
POINT (780472 1441787),Hebbal,6.79E-05,922,194,9185.05,44.400623,293,240,15.76,Sep
POINT (780472 1441787),Hebbal,8.04E-05,922,249,9185.05,47.578125,285,140,26.91,Oct
POINT (780472 1441787),Hebbal,8.11E-05,922,33,9185.05,38.31625,275,150,25.46,Nov
POINT (780472 1441787),Hebbal,8.06E-05,922,18,9185.05,47.105625,275,150,33.71,Dec
POINT (789001 1439077),Kasturi Nagar,8.28E-05,906,3,271.0959,61.79625,297,170,,Jan
POINT (789001 1439077),Kasturi Nagar,9.42E-05,906,2,271.0959,81.20875,313,180,,Feb
POINT (789001 1439077),Kasturi Nagar,9.65E-05,906,0,271.0959,80.205,341,200,,March
POINT (789001 1439077),Kasturi Nagar,9.30E-05,906,28,271.0959,73.09062,345,170,,April
POINT (789001 1439077),Kasturi Nagar,8.62E-05,906,78,271.0959,81.494995,323,250,,May
POINT (789001 1439077),Kasturi Nagar,7.92E-05,906,96,271.0959,66.35562,299,150,,June
POINT (789001 1439077),Kasturi Nagar,6.62E-05,906,94,271.0959,0,281,250,,July
POINT (789001 1439077),Kasturi Nagar,7.25E-05,906,124,271.0959,0,285,220,,Aug
POINT (789001 1439077),Kasturi Nagar,7.24E-05,906,188,271.0959,64.26187,292,230,,Sep
POINT (789001 1439077),Kasturi Nagar,8.11E-05,906,231,271.0959,72.88438,284,140,,Oct
POINT (789001 1439077),Kasturi Nagar,6.91E-05,906,35,271.0959,47.502502,272,160,,Nov
POINT (789001 1439077),Kasturi Nagar,7.44E-05,906,18,271.0959,69.395004,273,150,,Dec
POINT (790951 1431495),BWSSB Kadabesanahalli,7.87E-05,884,3,199.99057,22.271875,296,170,32.63,Jan
POINT (790951 1431495),BWSSB Kadabesanahalli,9.39E-05,884,2,199.99057,27.893124,313,180,35.28,Feb
POINT (790951 1431495),BWSSB Kadabesanahalli,9.74E-05,884,0,199.99057,28.043125,341,190,49.34,March
POINT (790951 1431495),BWSSB Kadabesanahalli,9.81E-05,884,29,199.99057,27.161875,344,170,58.09,April
POINT (790951 1431495),BWSSB Kadabesanahalli,8.67E-05,884,78,199.99057,26.65375,322,250,48.56,May
POINT (790951 1431495),BWSSB Kadabesanahalli,7.47E-05,884,92,199.99057,23.214375,297,140,31.8,June
POINT (790951 1431495),BWSSB Kadabesanahalli,6.67E-05,884,93,199.99057,0,278,230,14.43,July
POINT (790951 1431495),BWSSB Kadabesanahalli,7.48E-05,884,122,199.99057,0,285,200,17.95,Aug
POINT (790951 1431495),BWSSB Kadabesanahalli,7.32E-05,884,185,199.99057,24.903124,289,220,,Sep
POINT (790951 1431495),BWSSB Kadabesanahalli,7.91E-05,884,234,199.99057,27.069374,283,140,,Oct
POINT (790951 1431495),BWSSB Kadabesanahalli,7.44E-05,884,36,199.99057,23.30875,271,150,,Nov
POINT (790951 1431495),BWSSB Kadabesanahalli,7.87E-05,884,18,199.99057,23.630625,272,150,,Dec
